,NOC,Year,Num_Athletes
0,30. Februar,1952,2
1,A North American Team,1900,4
2,Acipactli,1964,3
3,Acturus,1948,2
4,Afghanistan,1936,16
5,Afghanistan,1948,25
6,Afghanistan,1956,12
7,Afghanistan,1960,16
8,Afghanistan,1964,8
9,Afghanistan,1968,5
10,Afghanistan,1972,8
11,Afghanistan,1980,11
12,Afghanistan,1988,5
13,Afghanistan,1996,2
14,Afghanistan,2004,5
15,Afghanistan,2008,4
16,Afghanistan,2012,6
17,Afghanistan,2016,3
18,Afghanistan,2020,5
19,Afghanistan,2024,7
20,Akatonbo,1964,3
21,Alain IV,1964,3
22,Albania,1972,5
23,Albania,1992,9
24,Albania,1996,9
25,Albania,2000,5
26,Albania,2004,7
27,Albania,2008,12
28,Albania,2012,10
29,Albania,2016,6
30,Albania,2020,10
31,Albania,2024,9
32,Alcaid,1952,3
33,Alcyon-6,1900,1
34,Alcyon-7,1900,2
35,Aldebaran,1964,2
36,Aldebaran II,1960,2
37,Aletta,1960,3
38,Algeria,1964,7
39,Algeria,1968,9
40,Algeria,1972,7
41,Algeria,1980,63
42,Algeria,1984,33
43,Algeria,1988,45
44,Algeria,1992,36
45,Algeria,1996,47
46,Algeria,2000,51
47,Algeria,2004,71
48,Algeria,2008,57
49,Algeria,2012,39
50,Algeria,2016,74
51,Algeria,2020,45
52,Algeria,2024,55
53,Ali-Baba II,1948,7
54,Ali-Baba IV,1952,2
55,Ali-Baba IX,1964,2
56,Ali-Baba VI,1960,2
57,Allegro,1948,3
58,Almaz,1964,2
59,Aloha II,1924,3
60,Aloha II,1948,2
61,Amateur Athletic Association,1900,5
62,American Samoa,1988,6
63,American Samoa,1992,3
64,American Samoa,1996,7
65,American Samoa,2000,4
66,American Samoa,2004,3
67,American Samoa,2008,4
68,American Samoa,2012,4
69,American Samoa,2016,4
70,American Samoa,2020,6
71,American Samoa,2024,2
72,Amolgavar,1924,3
73,Amstel Amsterdam,1908,4
74,Amulet-3,1900,4
75,Amulet-7,1900,2
76,Ancora,1920,4
77,Andorinha,1948,2
78,Andorra,1976,3
79,Andorra,1980,2
80,Andorra,1984,2
81,Andorra,1988,4
82,Andorra,1992,8
83,Andorra,1996,8
84,Andorra,2000,5
85,Andorra,2004,6
86,Andorra,2008,5
87,Andorra,2012,6
88,Andorra,2016,4
89,Andorra,2020,3
90,Andorra,2024,4
91,Andromeda,1964,3
92,Angelita,1932,12
93,Angelita,1936,6
94,Angerburg,1936,1
95,Angola,1980,17
96,Angola,1988,33
97,Angola,1992,33
98,Angola,1996,30
99,Angola,2000,30
100,Angola,2004,30
101,Angola,2008,33
102,Angola,2012,35
103,Angola,2016,26
104,Angola,2020,20
105,Angola,2024,26
106,Anitra,1936,6
107,Antares,1948,2
108,Antigua and Barbuda,1976,17
109,Antigua and Barbuda,1984,27
110,Antigua and Barbuda,1988,25
111,Antigua and Barbuda,1992,18
112,Antigua and Barbuda,1996,19
113,Antigua and Barbuda,2000,4
114,Antigua and Barbuda,2004,5
115,Antigua and Barbuda,2008,5
116,Antigua and Barbuda,2012,4
117,Antigua and Barbuda,2016,9
118,Antigua and Barbuda,2020,6
119,Antigua and Barbuda,2024,5
120,Antwerpia V,1920,5
121,Antwerpia V,1924,5
122,Apache,1948,5
123,Aphrodite,1964,3
124,Arcturus,1952,2
125,Ardilla,1960,3
126,Aretusa,1956,3
127,Argentina,1900,1
128,Argentina,1908,1
129,Argentina,1920,1
130,Argentina,1924,100
131,Argentina,1928,93
132,Argentina,1932,47
133,Argentina,1936,57
134,Argentina,1948,283
135,Argentina,1952,161
136,Argentina,1956,39
137,Argentina,1960,108
138,Argentina,1964,143
139,Argentina,1968,132
140,Argentina,1972,123
141,Argentina,1976,106
142,Argentina,1984,115
143,Argentina,1988,134
144,Argentina,1992,111
145,Argentina,1996,221
146,Argentina,2000,161
147,Argentina,2004,175
148,Argentina,2008,141
149,Argentina,2012,148
150,Argentina,2016,228
151,Argentina,2020,208
152,Argentina,2024,154
153,Argentina-1,1924,2
154,Argentina-1,2000,2
155,Argentina-1,2004,2
156,Argentina-1,2008,2
157,Argentina-1,2016,2
158,Argentina-2,1924,2
159,Argentina-2,2000,2
160,Argentina-2,2004,2
161,Argentina-2,2008,2
162,Argentina-2,2016,2
163,Argeste,1964,3
164,Argo II,1960,3
165,Argonaut Rowing Club,1908,6
166,Argus,1948,4
167,Ariel,1948,2
168,Ariette-10,1900,2
169,Ariette-8,1900,1
170,Armenia,1996,38
171,Armenia,2000,26
172,Armenia,2004,19
173,Armenia,2008,26
174,Armenia,2012,31
175,Armenia,2016,34
176,Armenia,2020,19
177,Armenia,2024,17
178,Aruba,1988,12
